location,size,total_sqft,bath,balcony,price,BHK,price_per_sqft
Electronic City,2 BHK,1070.0,2.0,1.0,58.0,2,54205.60747663552
Raja Rajeshwari Nagar,3 BHK,1280.0,3.0,2.0,57.6,3,45000.0
Electronic City Phase II,2 BHK,1125.0,2.0,1.0,29.25,2,26000.0
Sarjapur  Road,3 BHK,1755.0,3.0,2.0,122.0,3,69515.66951566952
Electronic City,2 BHK,1210.0,2.0,1.0,54.0,2,44628.09917355372
Talaghattapura,2 BHK,951.0,2.0,2.0,30.43,2,31997.89695057834
Electronic City,3 BHK,1500.0,2.0,1.0,75.0,3,50000.0
Coffee Board Layout,3 BHK,1652.5,3.0,2.0,90.0,3,54462.93494704992
Yeshwanthpur,3 BHK,1381.0,2.0,2.0,76.18,3,55162.92541636495
Whitefield,2 BHK,1085.0,2.0,1.0,57.0,2,52534.56221198157
Whitefield,1 BHK,905.0,1.0,1.0,50.0,1,55248.61878453039
Hennur Road,3 BHK,1685.0,3.0,2.0,95.0,3,56379.821958456974
Somasundara Palya,2 BHK,1200.0,2.0,2.0,75.0,2,62500.0
Anandapura,2 BHK,1151.0,2.0,1.0,42.9,2,37271.93744569939
Kanakpura Road,3 BHK,1665.0,3.0,2.0,86.91,3,52198.1981981982
Kengeri Satellite Town,2 BHK,800.0,2.0,1.0,40.0,2,50000.0
Rajiv Nagar,2 BHK,1030.0,2.0,2.0,46.5,2,45145.63106796116
Hoodi,2 BHK,1257.0,2.0,1.0,71.03,2,56507.55767700875
Whitefield,3 BHK,1600.0,3.0,2.0,82.0,3,51250.0
Choodasandra,3 BHK,1465.0,3.0,3.0,75.0,3,51194.53924914676
Jakkur,3 BHK,1650.0,3.0,2.0,111.0,3,67272.72727272728
Haralur Road,2 BHK,1243.0,2.0,2.0,46.0,2,37007.24054706356
Whitefield,4 Bedroom,1230.0,4.0,2.0,80.0,4,65040.650406504064
Koramangala,2 BHK,1300.0,2.0,2.0,82.0,2,63076.92307692308
KR Puram,2 BHK,1000.0,2.0,1.0,44.5,2,44500.0
Mahadevpura,2 BHK,1146.0,2.0,1.0,53.8,2,46945.89877835952
Whitefield,2 BHK,1255.0,2.0,2.0,40.0,2,31872.50996015936
Hebbal Kempapura,2 BHK,1130.0,2.0,2.0,60.0,2,53097.345132743365
Padmanabhanagar,2 BHK,1200.0,2.0,1.0,60.0,2,50000.0
Sarjapur  Road,2 BHK,1040.0,2.0,1.0,37.0,2,35576.92307692308
Uttarahalli,2 BHK,1180.0,2.0,1.0,41.3,2,35000.0
KR Puram,2 BHK,1200.0,2.0,3.0,47.0,2,39166.66666666666
Sarjapur  Road,3 BHK,1374.0,3.0,2.0,51.0,3,37117.90393013101
Haralur Road,2 BHK,1027.0,2.0,2.0,44.0,2,42843.23271665044
Electronic City,3 BHK,1033.0,2.0,2.0,28.41,3,27502.42013552759
Yelahanka,2 BHK,1200.0,2.0,1.0,54.0,2,45000.0
Kanakpura Road,3 BHK,1495.0,2.0,2.0,52.33,3,35003.34448160535
Kothanur,2 BHK,1302.0,2.0,1.0,68.5,2,52611.36712749616
Whitefield,1 BHK,905.0,1.0,1.0,52.0,1,57458.5635359116
Raja Rajeshwari Nagar,2 BHK,1303.0,2.0,1.0,55.79,2,42816.57712970069
Electronics City Phase 1,3 BHK,1350.0,3.0,0.0,71.0,3,52592.59259259259
Gottigere,3 BHK,1380.0,2.0,2.0,95.0,3,68840.57971014493
Harlur,3 BHK,1620.0,3.0,1.0,110.0,3,67901.23456790124
Sarjapur  Road,2 BHK,1000.0,2.0,1.0,38.5,2,38500.0
Thanisandra,2 BHK,1250.0,1.0,1.0,54.0,2,43200.0
Anekal,3 BHK,997.0,3.0,2.0,55.0,3,55165.4964894684
Yelahanka,2 BHK,1322.0,2.0,2.0,75.0,2,56732.22390317701
Kanaka Nagar,3 Bedroom,1365.0,3.0,0.0,99.0,3,72527.47252747252
Kaggadasapura,3 BHK,1256.0,2.0,2.0,50.0,3,39808.91719745223
Brookefield,2 BHK,941.0,2.0,2.0,48.0,2,51009.564293305
Kanakpura Road,3 BHK,1665.0,3.0,2.0,86.58,3,52000.0
Chikkalasandra,3 BHK,1270.0,2.0,3.0,55.25,3,43503.93700787402
Pattanagere,2 BHK,850.0,2.0,0.0,35.0,2,41176.470588235294
TC Palaya,2 Bedroom,900.0,2.0,0.0,55.0,2,61111.11111111111
Hebbal,2 BHK,1200.0,2.0,1.0,49.0,2,40833.333333333336
Wilson Garden,3 BHK,1680.0,3.0,3.0,135.0,3,80357.14285714286
Jakkasandra Extension,2 BHK,990.0,2.0,2.0,58.0,2,58585.85858585859
Uttarahalli,2 BHK,1380.0,2.0,1.0,42.0,2,30434.78260869565
Hebbal,2 BHK,1088.0,2.0,2.0,62.0,2,56985.294117647056
Harlur,3 BHK,1414.0,3.0,2.0,77.5,3,54809.05233380481
Seshadripuram,2 BHK,1240.0,2.0,1.0,100.0,2,80645.16129032258
Ganesha Block,3 BHK,1810.0,3.0,3.0,118.0,3,65193.37016574586
Kothanur,2 BHK,1185.0,2.0,2.0,58.0,2,48945.147679324895
Whitefield,3 Bedroom,1200.0,3.0,2.0,57.15,3,47625.0
Electronic City,2 BHK,1070.0,2.0,1.0,52.0,2,48598.13084112149
Shikaripalya,2 BHK,1265.0,2.0,1.0,58.0,2,45849.802371541504
Sahakara Nagar,2 BHK,1100.0,2.0,1.0,55.0,2,50000.0
Friends Colony,2 BHK,1035.0,2.0,2.0,44.0,2,42512.07729468599
Hegde Nagar,2 BHK,1179.0,2.0,2.0,49.35,2,41857.506361323154
Vittasandra,3 BHK,1650.0,3.0,1.0,84.0,3,50909.09090909091
Nagaraja Garden,3 BHK,1430.0,3.0,1.0,78.65,3,55000.0
Marathahalli,3 BHK,1130.0,2.0,2.0,58.0,3,51327.43362831858
Hennur,3 BHK,1340.0,3.0,2.0,54.24,3,40477.611940298506
Channasandra,2 BHK,1160.0,2.0,1.0,55.0,2,47413.79310344828
Hegganahalli,1 Bedroom,1200.0,2.0,1.0,45.0,1,37500.0
Rajanna Layout,2 BHK,1116.0,2.0,1.0,37.6,2,33691.756272401435
Devasthanagalu,2 BHK,1090.0,2.0,2.0,45.0,2,41284.40366972477
JP Nagar,2 BHK,1100.0,2.0,1.0,45.0,2,40909.09090909091
Kammasandra,3 BHK,1365.0,2.0,1.0,34.13,3,25003.663003663005
Vijayanagar,3 BHK,1484.0,3.0,2.0,79.19,3,53362.53369272237
Green Glen Layout,3 BHK,1630.0,3.0,2.0,68.0,3,41717.79141104295
Whitefield,3 BHK,1451.0,2.0,2.0,52.43,3,36133.70089593384
Kanakpura Road,2 BHK,1330.0,2.0,1.0,107.0,2,80451.12781954887
Hallehalli,4 Bedroom,1260.0,4.0,2.0,65.0,4,51587.30158730159
Sarjapur  Road,3 BHK,1173.0,2.0,2.0,45.75,3,39002.55754475703
Electronics City Phase 1,3 BHK,1445.0,2.0,1.0,56.0,3,38754.32525951557
JP Nagar,2 BHK,1197.0,2.0,1.0,47.88,2,40000.0
Kanakpura Road,3 BHK,1450.0,3.0,3.0,62.4,3,43034.48275862069
Whitefield,2 BHK,1187.0,2.0,1.0,37.85,2,31887.110362257798
Channasandra,2 BHK,1050.0,2.0,2.0,41.0,2,39047.619047619046
Panathur,3 BHK,1370.0,2.0,2.0,54.8,3,40000.0
Yelahanka,2 BHK,1036.0,2.0,2.0,39.37,2,38001.9305019305
JP Nagar,3 BHK,1275.0,3.0,2.0,41.2,3,32313.72549019608
Thigalarapalya,2 BHK,1418.0,2.0,2.0,106.0,2,74753.17348377997
Thanisandra,2 BHK,1265.0,2.0,2.0,46.6,2,36837.94466403162
Anandapura,3 BHK,1576.0,3.0,2.0,58.0,3,36802.03045685279
Dodda Nekkundi,2 BHK,1148.0,2.0,1.0,56.0,2,48780.48780487805
Green View Layout,2 BHK,1000.0,2.0,1.0,36.0,2,36000.0
Kudlu,3 BHK,1293.0,2.0,2.0,85.0,3,65738.59242072699
TC Palaya,3 Bedroom,1200.0,2.0,0.0,66.0,3,55000.0
Munnekollal,2 BHK,1210.0,2.0,3.0,75.0,2,61983.47107438016
HSR Layout,2 BHK,1126.0,2.0,1.0,69.0,2,61278.86323268206
Vidyaranyapura,3 BHK,1440.0,2.0,0.0,70.0,3,48611.11111111111
Ramamurthy Nagar,3 BHK,1300.0,2.0,2.0,52.0,3,40000.0
Thanisandra,2 BHK,1276.0,2.0,2.0,75.0,2,58777.42946708464
Whitefield,2 BHK,1216.0,2.0,1.0,83.0,2,68256.57894736843
Sompura,2 BHK,1126.0,2.0,2.0,39.0,2,34635.879218472466
Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,0.0,65.0,2,55938.03786574871
Whitefield,2 BHK,1301.0,2.0,2.0,65.0,2,49961.56802459646
1st Phase JP Nagar,1 BHK,1285.9964027518652,1.0,1.0,63.0,1,49976.21764110642
Chandapura,3 BHK,1208.51,3.0,2.0,42.0,3,34753.53948250325
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,2.0,38.41,2,33901.147396293025
Shettigere,3 BHK,1760.0,2.0,1.0,116.0,3,65909.09090909091
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,52.0,3,48372.09302325582
Sarjapur,2 BHK,940.0,2.0,1.0,25.38,2,27000.0
Badavala Nagar,2 BHK,1145.0,2.0,2.0,57.0,2,49781.65938864629
Bannerghatta Road,2 BHK,1302.5,2.0,0.0,67.73,2,52000.0
Dasarahalli,2 BHK,1300.0,2.0,2.0,50.0,2,38461.53846153846
Thubarahalli,2 BHK,1216.0,2.0,1.0,80.0,2,65789.47368421052
Tumkur Road,3 BHK,1459.0,2.0,1.0,110.0,3,75394.10555174777
Jakkur,3 BHK,1622.0,2.0,0.0,80.0,3,49321.82490752158
Kanakpura Road,3 BHK,1843.0,3.0,2.0,85.0,3,46120.45577862181
Badavala Nagar,2 BHK,1274.0,2.0,1.0,81.0,2,63579.27786499215
Malleshpalya,3 BHK,1430.0,2.0,1.0,69.5,3,48601.3986013986
Begur Road,3 BHK,1565.0,2.0,2.0,57.91,3,37003.194888178914
Akshayanagara West,2 BHK,1410.0,2.0,2.0,75.0,2,53191.48936170213
Kengeri Satellite Town,2 BHK,1060.0,2.0,3.0,42.0,2,39622.64150943396
Sarjapur  Road,2 BHK,1120.0,2.0,2.0,50.0,2,44642.857142857145
Hosa Road,2 Bedroom,880.0,2.0,0.0,50.0,2,56818.181818181816
Jalahalli,2 BHK,1083.0,2.0,1.0,32.49,2,30000.000000000004
Dodda Nekkundi,3 BHK,1435.0,3.0,3.0,57.2,3,39860.62717770035
Doddakallasandra,3 BHK,1425.0,2.0,2.0,56.99,3,39992.98245614035
Arekere,2 BHK,900.0,2.0,3.0,50.0,2,55555.55555555556
Iblur Village,3 BHK,1920.0,3.0,2.0,150.0,3,78125.0
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,50.0,3,46511.62790697674
Srinivasa Nagar,3 BHK,1200.0,2.0,2.0,75.6,3,63000.0
Mahadevpura,2 BHK,1532.0,2.0,2.0,62.0,2,40469.97389033943
Rajiv Nagar,2 BHK,1330.0,2.0,1.0,93.0,2,69924.81203007519
Sarjapur  Road,3 BHK,1530.0,2.0,2.0,60.0,3,39215.68627450981
Kasavanhalli,2 BHK,1105.0,2.0,2.0,42.0,2,38009.04977375566
Harlur,3 BHK,1630.0,3.0,1.0,95.1,3,58343.55828220859
5th Phase JP Nagar,2 BHK,1256.0,2.0,1.0,62.8,2,50000.0
Brookefield,3 BHK,1595.0,2.0,3.0,75.0,3,47021.94357366771
7th Phase JP Nagar,2 BHK,1000.0,2.0,2.0,53.0,2,53000.0
Poorna Pragna Layout,3 BHK,1475.0,2.0,2.0,58.99,3,39993.220338983054
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88,2,28880.0
Uttarahalli,3 BHK,1737.0,2.0,3.0,95.0,3,54691.997697179046
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88,2,28880.0
Mysore Road,2 BHK,883.0,2.0,1.0,50.0,2,56625.14156285391
Haralur Road,2 BHK,1243.0,2.0,2.0,46.0,2,37007.24054706356
BTM Layout,3 BHK,1776.0,2.0,3.0,75.0,3,42229.72972972973
Anjanapura,3 BHK,1347.0,2.0,1.0,37.72,3,28002.96956198961
Whitefield,3 BHK,1330.0,2.0,2.0,55.0,3,41353.38345864662
Gubbalala,2 BHK,1008.0,2.0,2.0,32.25,2,31994.04761904762
NTI Layout,2 BHK,1200.0,2.0,2.0,52.5,2,43750.0
Yelahanka,2 BHK,1405.0,2.0,0.0,50.58,2,36000.0
Marathahalli,3 BHK,1710.0,3.0,2.0,100.0,3,58479.53216374269
JP Nagar,3 BHK,1500.0,2.0,3.0,82.0,3,54666.66666666666
Glass Factory Layout,3 BHK,1539.0,3.0,2.0,60.0,3,38986.35477582846
Judicial Layout,3 BHK,1100.0,2.0,1.0,53.0,3,48181.81818181818
Raja Rajeshwari Nagar,2 BHK,1151.0,2.0,1.0,49.0,2,42571.67680278019
Dasappa Layout,2 BHK,920.0,2.0,1.0,46.0,2,50000.0
Kathriguppe,3 BHK,1350.0,3.0,3.0,78.3,3,58000.0
Bannerghatta Road,2 BHK,1200.0,2.0,2.0,65.0,2,54166.66666666666
Thanisandra,2 BHK,1265.0,2.0,1.0,78.0,2,61660.0790513834
Sarjapur  Road,3 BHK,1700.0,3.0,2.0,93.5,3,55000.0
Ramamurthy Nagar,3 Bedroom,1600.0,3.0,0.0,75.0,3,46875.0
4th T block Jayanagar,4 Bedroom,1550.0,4.0,1.0,120.0,4,77419.35483870968
R.T. Nagar,3 BHK,1560.0,3.0,3.0,125.0,3,80128.20512820513
Haralur Road,2 BHK,1243.0,2.0,2.0,46.0,2,37007.24054706356
Sarjapur  Road,3 BHK,1403.0,3.0,1.0,56.0,3,39914.46899501069
Doddakallasandra,2 BHK,1010.0,2.0,1.0,40.39,2,39990.09900990099
Tumkur Road,3 BHK,1416.0,3.0,1.0,94.0,3,66384.18079096045
Kanakpura Road,2 BHK,1628.0,2.0,2.0,68.0,2,41769.04176904177
7th Phase JP Nagar,3 BHK,1680.0,3.0,2.0,125.0,3,74404.76190476191
Doddathoguru,3 BHK,1595.0,3.0,3.0,62.0,3,38871.47335423197
Kanakpura Road,3 BHK,1507.0,2.0,3.0,95.0,3,63039.15063039151
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88,2,28880.0
Sonam Layout,2 BHK,905.0,2.0,1.0,50.0,2,55248.61878453039
Kaikondrahalli,3 BHK,1605.0,3.0,3.0,105.0,3,65420.56074766355
Bommanahalli,2 BHK,1290.0,2.0,1.0,73.0,2,56589.1472868217
Yelahanka,2 BHK,1100.0,2.0,1.0,60.0,2,54545.454545454544
Electronics City Phase 1,2 BHK,995.0,2.0,1.0,49.8,2,50050.25125628141
Gottigere,3 BHK,1425.0,2.0,2.0,47.0,3,32982.45614035088
BTM 4th Stage,3 BHK,1455.0,2.0,2.0,55.0,3,37800.687285223365
Uttarahalli,3 BHK,1385.0,2.0,2.0,48.48,3,35003.61010830325
Gollahalli,2 BHK,1060.0,2.0,1.0,53.0,2,50000.0
AGS Layout,3 BHK,1080.0,2.0,2.0,75.0,3,69444.44444444444
HBR Layout,3 BHK,1783.0,3.0,2.0,125.0,3,70106.56197420078
Haralur Road,3 BHK,1520.0,2.0,2.0,90.0,3,59210.52631578947
Sarjapur  Road,2 BHK,1060.0,2.0,1.0,55.0,2,51886.79245283019
Raja Rajeshwari Nagar,2 BHK,1267.0,2.0,1.0,54.35,2,42896.60615627466
Whitefield,2 BHK,1155.0,2.0,2.0,55.0,2,47619.04761904762
Bannerghatta Road,2 BHK,1240.0,2.0,1.0,65.0,2,52419.35483870968
Gollahalli,3 BHK,1570.0,3.0,2.0,78.0,3,49681.52866242038
NGR Layout,2 BHK,1019.0,2.0,1.0,45.9,2,45044.1609421001
Whitefield,2 BHK,1355.0,3.0,3.0,76.0,2,56088.56088560886
Arekempanahalli,3 BHK,1537.0,3.0,2.0,110.0,3,71567.9895901106
Raja Rajeshwari Nagar,3 BHK,1550.0,3.0,3.0,52.45,3,33838.70967741936
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,1.0,50.0,2,45454.545454545456
9th Phase JP Nagar,2 BHK,1466.0,2.0,2.0,71.0,2,48431.10504774898
Rachenahalli,3 BHK,1550.0,3.0,2.0,72.5,3,46774.1935483871
Silk Board,2 BHK,1020.0,2.0,3.0,48.0,2,47058.82352941176
Hoodi,2 BHK,1305.0,2.0,1.0,75.0,2,57471.26436781609
Electronic City,2 BHK,1125.0,2.0,1.0,32.5,2,28888.88888888889
Horamavu Banaswadi,2 BHK,1225.0,2.0,2.0,49.5,2,40408.16326530613
Hennur,2 BHK,1255.0,2.0,1.0,55.5,2,44223.10756972111
MRCR Layout,2 BHK,1191.0,2.0,1.0,90.0,2,75566.75062972293
Electronic City,2 BHK,1165.0,2.0,1.0,33.64,2,28875.536480686696
Kacharakanahalli,2 BHK,865.0,2.0,1.0,35.11,2,40589.59537572254
Nagarbhavi,3 BHK,1850.0,2.0,2.0,88.0,3,47567.56756756757
Hennur Road,2 BHK,1232.0,2.0,2.0,89.0,2,72240.25974025975
Thanisandra,3 BHK,1732.0,3.0,3.0,85.73,3,49497.69053117783
Yelahanka,3 BHK,1614.0,2.0,1.0,100.0,3,61957.86864931847
Electronic City,2 BHK,919.0,2.0,2.0,34.0,2,36996.73558215451
Doctors Layout,2 BHK,1000.0,2.0,2.0,42.0,2,42000.0
Whitefield,2 BHK,1216.0,2.0,1.0,75.0,2,61677.63157894737
Ambedkar Nagar,3 BHK,1852.0,3.0,2.0,130.0,3,70194.38444924405
Udaya Nagar,2 BHK,1225.0,2.0,2.0,47.0,2,38367.34693877551
Panathur,3 BHK,1597.0,3.0,1.0,67.12,3,42028.80400751409
Marathahalli,2 BHK,1152.0,2.0,1.0,90.0,2,78125.0
Harlur,3 BHK,1762.0,3.0,2.0,133.0,3,75482.40635641316
Kammasandra,3 Bedroom,1400.0,3.0,2.0,92.0,3,65714.28571428571
Rachenahalli,3 BHK,1530.0,2.0,2.0,74.4,3,48627.45098039216
Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,2.0,40.17,2,33898.73417721519
Yelahanka,3 BHK,1890.0,3.0,2.0,108.0,3,57142.857142857145
Varthur Road,3 BHK,1247.0,2.0,2.0,58.0,3,46511.62790697674
Bellandur,2 BHK,1201.0,2.0,2.0,59.99,2,49950.04163197336
Gunjur Palya,2 BHK,830.0,2.0,2.0,40.0,2,48192.77108433735
Electronic City Phase II,2 BHK,1165.0,2.0,1.0,30.29,2,26000.0
Bommanahalli,2 BHK,1100.0,1.0,2.0,55.0,2,50000.0
Maithri Layout,3 BHK,1685.0,3.0,2.0,60.0,3,35608.30860534125
Battarahalli,2 BHK,1165.0,2.0,1.0,43.0,2,36909.87124463519
Kachanayakanahalli,2 BHK,827.0,2.0,1.0,45.0,2,54413.54292623942
Vishwanatha Nagenahalli,2 BHK,1050.0,2.0,1.0,50.0,2,47619.04761904762
Yelenahalli,3 BHK,1500.0,2.0,2.0,57.0,3,38000.0
Raja Rajeshwari Nagar,3 BHK,1751.0,3.0,3.0,72.0,3,41119.36036550543
Bommasandra,2 BHK,1020.0,2.0,1.0,40.89,2,40088.23529411765
Thanisandra,2 BHK,1148.0,2.0,1.0,43.5,2,37891.98606271777
Talaghattapura,3 BHK,1856.0,3.0,2.0,135.0,3,72737.06896551725
B Narayanapura,2 BHK,1060.0,2.0,1.0,49.27,2,46481.1320754717
Haralur Road,2 BHK,1300.0,2.0,2.0,60.0,2,46153.84615384616
Bellandur,2 BHK,1325.0,2.0,2.0,65.0,2,49056.6037735849
Sai Gardens,2 BHK,1261.0,2.0,2.0,61.0,2,48374.30610626487
Manayata Tech Park,2 BHK,1100.0,2.0,2.0,46.0,2,41818.181818181816
7th Phase JP Nagar,3 BHK,1675.0,2.0,2.0,135.0,3,80597.01492537314
Doddakammanahalli,2 BHK,1180.0,2.0,2.0,56.0,2,47457.627118644064
Uttarahalli,2 BHK,1160.0,2.0,2.0,45.0,2,38793.10344827586
Kasavanhalli,4 BHK,1863.0,3.0,2.0,105.0,4,56360.708534621575
Sahakara Nagar,3 BHK,1914.0,3.0,2.0,149.0,3,77847.43991640543
BTM Layout,3 BHK,1458.0,3.0,2.0,79.0,3,54183.8134430727
Babusapalaya,2 BHK,1105.0,2.0,1.0,40.0,2,36199.09502262443
Yelahanka,3 BHK,1556.0,3.0,2.0,86.0,3,55269.92287917738
Jigani,2 BHK,918.0,2.0,2.0,50.0,2,54466.23093681917
Sarjapur  Road,3 BHK,1455.0,2.0,1.0,98.0,3,67353.95189003437
Jakkasandra Extension,2 BHK,1205.0,2.0,1.0,70.0,2,58091.28630705394
BEML Layout,2 BHK,1194.0,2.0,1.0,65.0,2,54438.860971524286
Laggere,2 Bedroom,1200.0,2.0,0.0,75.0,2,62500.0
Bannerghatta Road,3 BHK,1100.0,2.0,2.0,52.0,3,47272.72727272727
Sarjapur  Road,3 BHK,1405.0,3.0,2.0,48.87,3,34782.91814946619
Subramanyapura,2 BHK,929.0,2.0,1.0,56.0,2,60279.87082884822
7th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,39.33,2,38000.0
Channasandra,2 BHK,1065.0,2.0,1.0,40.47,2,38000.0
Bannerghatta Road,3 BHK,1532.5,3.0,0.0,84.29,3,55001.63132137031
Hormavu,2 BHK,1093.0,2.0,1.0,32.78,2,29990.85086916743
Anandapura,2 BHK,1250.0,2.0,2.0,45.0,2,36000.0
Marathahalli,3 BHK,1680.0,3.0,3.0,105.0,3,62500.0
Nagarbhavi,2 BHK,1146.0,2.0,1.0,50.0,2,43630.01745200698
Jagajyothi layout,2 BHK,1250.0,2.0,3.0,58.0,2,46400.0
Ramagondanahalli,3 BHK,1451.0,3.0,1.0,60.44,3,41654.0317022743
Nobo Nagar,3 BHK,1424.0,2.0,3.0,55.0,3,38623.59550561798
Gottigere,3 BHK,1435.0,2.0,3.0,62.0,3,43205.57491289199
Bommanahalli,3 BHK,1300.0,3.0,2.0,45.0,3,34615.38461538462
Whitefield,2 BHK,1242.0,2.0,2.0,65.0,2,52334.943639291465
Marathahalli,3 BHK,1910.0,3.0,3.0,119.0,3,62303.66492146597
Yelahanka,3 BHK,1610.0,4.0,2.0,85.0,3,52795.03105590062
Hulimavu,2 BHK,1127.0,2.0,1.0,65.0,2,57675.24401064774
Yelahanka,3 BHK,1075.0,2.0,1.0,42.0,3,39069.76744186047
Mysore Road,2 BHK,1155.0,2.0,1.0,51.0,2,44155.84415584416
Krishna Reddy Layout,3 BHK,1250.0,3.0,1.0,55.0,3,44000.0
Chandapura,2 BHK,876.0,2.0,2.0,29.5,2,33675.799086757994
Nagarbhavi,3 BHK,1850.0,2.0,2.0,89.0,3,48108.10810810811
Kadugodi,2 BHK,1314.0,2.0,3.0,83.0,2,63165.90563165906
Srirampura,2 BHK,1230.0,2.0,3.0,55.0,2,44715.44715447154
Bommasandra,2 BHK,920.0,2.0,1.0,37.2,2,40434.782608695656
Sarjapur  Road,3 BHK,1850.0,3.0,3.0,140.0,3,75675.67567567568
Electronic City,2 BHK,1073.0,2.0,2.0,60.0,2,55917.98695246971
Maithri Layout,3 BHK,1540.0,3.0,3.0,76.0,3,49350.64935064935
Kanakpura Road,3 BHK,1550.0,3.0,3.0,63.5,3,40967.74193548387
Kalyan nagar,2 BHK,1198.0,2.0,1.0,65.0,2,54257.09515859767
HBR Layout,3 BHK,1656.0,3.0,2.0,90.0,3,54347.82608695652
Kaveri Nagar,3 BHK,1900.0,3.0,3.0,155.0,3,81578.94736842105
Ramagondanahalli,3 BHK,1910.0,3.0,2.0,142.0,3,74345.5497382199
Mysore Road,2 BHK,1003.0,2.0,1.0,43.0,2,42871.38584247258
Chickpet,2 BHK,1285.9964027518652,2.0,0.0,48.0,2,49976.21764110642
T G extension,2 Bedroom,1200.0,1.0,2.0,95.0,2,79166.66666666667
Whitefield,3 BHK,1548.0,3.0,1.0,65.0,3,41989.66408268734
Hosur Road,3 BHK,1689.0,3.0,1.0,103.0,3,60982.83007696862
Electronic City Phase II,2 BHK,1031.0,2.0,1.0,53.0,2,51406.401551891366
Whitefield,2 Bedroom,1200.0,2.0,2.0,46.13,2,38441.66666666666
JCR Layout,2 BHK,1060.0,2.0,2.0,37.0,2,34905.660377358494
Devi Nagar,2 BHK,1100.0,2.0,1.0,61.0,2,55454.545454545456
Hennur Road,3 BHK,1250.0,2.0,1.0,77.88,3,62304.0
Whitefield,2 Bedroom,1200.0,2.0,1.0,46.13,2,38441.66666666666
Seegehalli,3 BHK,1420.0,2.0,2.0,46.0,3,32394.3661971831
Electronic City,3 BHK,1500.0,2.0,1.0,78.0,3,52000.0
Sarjapur  Road,1 BHK,950.0,1.0,0.0,39.9,1,42000.0
AMS Layout,3 Bedroom,1200.0,4.0,2.0,80.0,3,66666.66666666667
Green Glen Layout,3 BHK,1752.0,3.0,2.0,105.0,3,59931.50684931507
Old Madras Road,3 BHK,1480.0,2.0,2.0,84.0,3,56756.75675675676
Sarjapur  Road,3 BHK,1826.0,3.0,2.0,130.0,3,71193.86637458927
8th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,39.33,2,38000.0
Kasavanhalli,3 BHK,1667.0,3.0,2.0,92.0,3,55188.962207558485
Thanisandra,2 BHK,934.0,2.0,2.0,55.0,2,58886.509635974304
JP Nagar,3 BHK,1285.9964027518652,3.0,1.0,69.34,3,49976.21764110642
Mahadevpura,3 BHK,1620.0,2.0,1.0,76.0,3,46913.58024691358
Electronic City,2 BHK,1070.0,2.0,1.0,47.0,2,43925.23364485981
Uttarahalli,3 BHK,1280.0,2.0,2.0,60.0,3,46875.0
rr nagar,2 BHK,1400.0,2.0,2.0,60.0,2,42857.142857142855
"Varthur Road,",2 BHK,1330.0,2.0,1.0,64.0,2,48120.3007518797
Balagere,2 BHK,1012.0,2.0,1.0,54.59,2,53942.687747035576
Electronic City Phase II,3 BHK,1611.0,2.0,2.0,48.33,3,30000.0
Whitefield,3 BHK,1405.0,3.0,2.0,58.0,3,41281.138790035584
VGP Layout,3 BHK,1515.0,3.0,3.0,90.0,3,59405.94059405941
Thigalarapalya,3 BHK,1830.0,4.0,2.0,150.0,3,81967.2131147541
Kaggadasapura,3 BHK,1710.0,3.0,0.0,60.0,3,35087.71929824561
BTM Layout,2 BHK,935.0,2.0,1.0,51.5,2,55080.21390374332
Brookefield,3 BHK,1410.0,2.0,0.0,80.0,3,56737.58865248227
Jakkur,2 BHK,1125.0,2.0,2.0,65.0,2,57777.77777777778
Magadi Road,3 BHK,1191.0,2.0,1.0,55.38,3,46498.740554156175
Thubarahalli,2 BHK,1200.0,2.0,2.0,79.0,2,65833.33333333333
CV Raman Nagar,3 BHK,1525.0,2.0,3.0,67.0,3,43934.42622950819
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,3.0,56.0,3,38251.366120218576
Seegehalli,2 BHK,920.0,2.0,1.0,27.0,2,29347.82608695652
Thanisandra,2 BHK,1185.0,2.0,2.0,44.0,2,37130.80168776371
Electronics City Phase 1,2 BHK,1190.0,2.0,1.0,68.0,2,57142.857142857145
Harohalli,2 Bedroom,1285.9964027518652,2.0,0.0,200.0,2,49976.21764110642
Whitefield,2 BHK,1355.0,2.0,3.0,73.0,2,53874.53874538746
KR Puram,2 Bedroom,1200.0,1.0,0.0,65.0,2,54166.66666666666
Bommasandra Industrial Area,3 BHK,1250.0,3.0,3.0,50.0,3,40000.0
Uttarahalli,3 BHK,1480.0,2.0,1.0,58.0,3,39189.18918918919
Green Woods Layout,2 BHK,1206.0,2.0,1.0,53.0,2,43946.9320066335
